Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
16534,Hitman (2016),XOne,2016.0,Action,Square Enix,0.0,0.01,0.0,0.0,0.01
9997,Army Men: Soldiers of Misfortune,DS,2008.0,Shooter,Zoo Games,0.11,0.0,0.0,0.01,0.12
9462,Romance of the Three Kingdoms IV: Wall of Fire,PS,1995.0,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13
1625,Castlevania,NES,1986.0,Platform,Konami Digital Entertainment,0.54,0.06,0.62,0.01,1.23
7360,BloodRayne,XB,2002.0,Shooter,Universal Interactive,0.16,0.05,0.0,0.01,0.21
10055,Taiko Drum Master: Tokumori!,WiiU,2014.0,Misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
3303,Cabela's Monster Buck Hunter,Wii,2010.0,Sports,Activision,0.58,0.0,0.0,0.03,0.61
11189,Rollcage Stage II,PS,2000.0,Racing,Sony Computer Entertainment,0.05,0.03,0.0,0.01,0.09
14633,Galaxy Angel II: Zettairyouiki no Tobira,PS2,2006.0,Strategy,Broccoli,0.0,0.0,0.03,0.0,0.03
2511,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,Action,LucasArts,0.44,0.3,0.0,0.08,0.82
7956,Grand Slam Tennis 2,X360,2012.0,Sports,Electronic Arts,0.1,0.07,0.0,0.02,0.19
7385,NOÃ«L: NOT DiGITAL,PS,1996.0,Adventure,Pioneer LDC,0.0,0.0,0.2,0.01,0.21
4299,Hyperdimension Neptunia,PS3,2010.0,Role-Playing,Tecmo Koei,0.22,0.11,0.07,0.05,0.46
1459,Lost Planet: Extreme Condition,X360,2006.0,Shooter,Capcom,1.09,0.04,0.1,0.11,1.34
4938,Dawn of Discovery,PC,2009.0,Simulation,Ubisoft,0.0,0.32,0.0,0.07,0.39
3088,Um Jammer Lammy,PS,1998.0,Misc,Sony Computer Entertainment,0.12,0.08,0.41,0.04,0.66
11566,Madden NFL 17,X360,2016.0,Sports,Electronic Arts,0.06,0.01,0.0,0.01,0.08
13445,Wayne Gretzky's 3D Hockey '98,PS,1997.0,Sports,GT Interactive,0.03,0.02,0.0,0.0,0.05
12584,Centipede: Infestation,Wii,2011.0,Shooter,Atari,0.06,0.0,0.0,0.0,0.06
14943,The Settlers: Rise of an Empire,PC,2007.0,Strategy,Ubisoft,0.01,0.01,0.0,0.0,0.02
238,Guitar Hero III: Legends of Rock,X360,2007.0,Misc,Activision,3.19,0.92,0.01,0.42,4.53
956,The Sims: Hot Date,PC,2001.0,Simulation,Electronic Arts,1.81,0.0,0.0,0.0,1.82
317,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,Misc,Nintendo,0.87,1.57,1.05,0.35,3.84
8975,Summon Night 5,PSP,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15
11251,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs. The Soulless Army,PS2,2006.0,Role-Playing,Tecmo Koei,0.0,0.0,0.09,0.0,0.09
5830,Gameboy Gallery,GB,1995.0,Misc,Nintendo,0.0,0.0,0.3,0.0,0.3
3611,Fatal Fury Special,SNES,1994.0,Fighting,Takara,0.0,0.0,0.56,0.0,0.56
696,Tomb Raider II,PC,1997.0,Action,Eidos Interactive,0.91,1.25,0.0,0.13,2.29
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
15007,Tom Clancy's Rainbow Six: Vegas 2,PC,2008.0,Shooter,Ubisoft,0.0,0.02,0.0,0.0,0.02
4963,Auto Modellista,PS2,2002.0,Racing,Capcom,0.19,0.15,0.0,0.05,0.39
5003,Turok: Evolution,GC,2002.0,Shooter,Acclaim Entertainment,0.3,0.08,0.0,0.01,0.38
6224,Dynasty Warriors: Gundam,PS2,2008.0,Action,Namco Bandai Games,0.0,0.0,0.28,0.0,0.28
3779,Jampack Vol. 2,PS,1996.0,Misc,Sony Computer Entertainment,0.3,0.2,0.0,0.03,0.53
15563,Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special,PS3,2015.0,Action,Arc System Works,0.0,0.0,0.02,0.0,0.02
7416,Cruis'n Exotica,N64,2000.0,Racing,Midway Games,0.17,0.04,0.0,0.0,0.21
4912,LocoRoco,PSP,2006.0,Platform,Sony Computer Entertainment,0.14,0.05,0.16,0.04,0.39
10714,System Flaw,DS,2009.0,Shooter,Enjoy Gaming ltd.,0.09,0.0,0.0,0.01,0.1
14516,D.C.I.F.: Da Capo Innocent Finale,PS2,2009.0,Adventure,Sweets,0.0,0.0,0.03,0.0,0.03
6385,Ratatouille,X360,2007.0,Action,THQ,0.23,0.02,0.0,0.02,0.27
12081,Dino Master: Dig Discover Duel,DS,2005.0,Strategy,Majesco Entertainment,0.06,0.0,0.0,0.0,0.07
9429,RPG Maker II,PS2,2002.0,Role-Playing,Enterbrain,0.06,0.05,0.0,0.02,0.13
14384,Homeworld 2,PC,2003.0,Strategy,Vivendi Games,0.0,0.03,0.0,0.01,0.03
8160,Disgaea 4: A Promise Unforgotten,PSV,2014.0,Role-Playing,Nippon Ichi Software,0.04,0.04,0.08,0.02,0.18
7070,World Series of Poker 2008: Battle for the Bracelets,PS2,2007.0,Misc,Activision,0.11,0.09,0.0,0.03,0.23
5368,Freeway,2600,1980.0,Action,Activision,0.32,0.02,0.0,0.0,0.34
1178,Kingdom Hearts 3D: Dream Drop Distance,3DS,2012.0,Action,Square Enix,0.88,0.26,0.34,0.09,1.58
9284,Learn Math,DS,2009.0,Puzzle,DreamCatcher Interactive,0.13,0.0,0.0,0.01,0.14
6834,Singularity,PS3,,Shooter,Unknown,0.17,0.04,0.01,0.03,0.24
5704,ExerBeat,Wii,2010.0,Sports,Namco Bandai Games,0.1,0.18,0.0,0.03,0.31
3421,Tales of Zestiria,PS3,2015.0,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
959,The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.84,0.11,0.31,1.81
9277,Houshinengi,PS,1998.0,Strategy,Tecmo Koei,0.0,0.0,0.13,0.01,0.14
9550,Ty the Tasmanian Tiger 2: Bush Rescue,GBA,2004.0,Platform,Electronic Arts,0.09,0.03,0.0,0.0,0.13
629,Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,1.55,0.54,0.05,0.31,2.45
11387,Kamen Rider: Travelers Senki,3DS,2013.0,Action,Seventh Chord,0.0,0.0,0.08,0.0,0.08
1330,Hasbro Family Game Night,Wii,2008.0,Puzzle,Electronic Arts,0.97,0.34,0.0,0.13,1.45
16429,ESPN NBA 2Night 2002,XB,2002.0,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0,0.01
10315,Cats & Dogs: The Revenge of Kitty Galore,DS,2010.0,Action,505 Games,0.1,0.0,0.0,0.01,0.11
7606,The Legend of Heroes VII: The Trail of Blue,PSP,2011.0,Role-Playing,Falcom Corporation,0.0,0.0,0.2,0.0,0.2
5916,We Sing Pop!,Wii,2012.0,Misc,Nordic Games,0.08,0.19,0.0,0.03,0.3
7292,Code Name: S.T.E.A.M.,3DS,2015.0,Strategy,Nintendo,0.14,0.05,0.01,0.02,0.22
5550,Eternal Sonata,X360,2007.0,Role-Playing,Atari,0.19,0.04,0.08,0.02,0.33
3020,Wolfenstein: The New Order,XOne,2014.0,Shooter,Bethesda Softworks,0.33,0.28,0.0,0.06,0.67
5537,Sakura Wars 3: Paris wa Moeteiru ka,DC,2001.0,Adventure,Sega,0.0,0.0,0.33,0.0,0.33
6480,We Cheer 2,Wii,2009.0,Simulation,Namco Bandai Games,0.24,0.0,0.0,0.02,0.26
4679,Attack on Titan: Humanity in Chains,3DS,2013.0,Action,Screenlife,0.0,0.0,0.41,0.0,0.41
13466,Mana Khemia: Alchemists of Al-Revis (JP sales),PS2,2007.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.04,0.0,0.04
1244,Sonic & Sega All-Stars Racing,Wii,2010.0,Racing,Sega,0.65,0.71,0.0,0.15,1.51
15514,Higurashi no Naku Koro ni: Jan,PSP,2009.0,Misc,AQ Interactive,0.0,0.0,0.02,0.0,0.02
2357,WWE SmackDown vs. Raw 2011,X360,2010.0,Fighting,THQ,0.44,0.36,0.0,0.08,0.88
710,Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,1.22,0.1,0.91,0.04,2.27
6974,LEGO Marvel's Avengers,PSV,2016.0,Action,Warner Bros. Interactive Entertainment,0.07,0.11,0.0,0.05,0.23
998,BioShock Infinite,PS3,2013.0,Shooter,Take-Two Interactive,0.72,0.69,0.04,0.31,1.76
1993,Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007.0,Fighting,Atari,0.33,0.37,0.26,0.09,1.04
10923,Dragon Ball Kai: Ultimate Butouden,DS,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
6457,Panzer Dragoon Orta,XB,2002.0,Shooter,Sega,0.16,0.05,0.04,0.01,0.26
1674,Battlefield: Hardline,XOne,2015.0,Shooter,Electronic Arts,0.72,0.37,0.01,0.11,1.2
4159,MySims Racing,Wii,2009.0,Racing,Electronic Arts,0.19,0.23,0.0,0.05,0.47
3735,Cars 2,PS3,2011.0,Racing,Disney Interactive Studios,0.22,0.23,0.0,0.09,0.54
4348,Phoenix,2600,1981.0,Simulation,Atari,0.42,0.02,0.0,0.0,0.45
9344,NHL 2K8,X360,2007.0,Sports,Take-Two Interactive,0.11,0.01,0.0,0.01,0.13
4682,NFL GameDay 2004,PS2,2003.0,Sports,Sony Computer Entertainment,0.2,0.16,0.0,0.05,0.41
13939,Jikkyou World Soccer 2002,PS2,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04
8445,Wildstar,PC,2014.0,Role-Playing,NCSoft,0.08,0.07,0.0,0.02,0.17
5152,Sid Meier's Civilization: Beyond Earth,PC,2014.0,Strategy,Take-Two Interactive,0.11,0.22,0.0,0.03,0.37
1578,Championship Manager 03/04,PC,2003.0,Sports,Eidos Interactive,0.0,1.15,0.0,0.11,1.26
3883,Pac-Man Fever,PS2,2001.0,Misc,Sony Computer Entertainment,0.25,0.2,0.0,0.07,0.51
6693,Wayne Gretzky's 3D Hockey '98,N64,1997.0,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25
6091,Power Pro Kun Pocket 11,DS,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29
10150,The Fairly Odd Parents: Breakin Da Rules,XB,2003.0,Platform,THQ,0.08,0.02,0.0,0.0,0.11
10791,Ballistic: Ecks vs. Sever,GBA,2002.0,Shooter,BAM! Entertainment,0.07,0.03,0.0,0.0,0.1
9420,Persona 4: Arena,X360,2012.0,Fighting,Atlus,0.08,0.02,0.03,0.01,0.13
14638,Stellaris,PC,2016.0,Strategy,Paradox Interactive,0.0,0.03,0.0,0.0,0.03
4725,Cars: Race-O-Rama,PSP,2009.0,Racing,THQ,0.29,0.07,0.0,0.06,0.41
13367,Taiko no Tatsujin Portable 2,PSP,2006.0,Misc,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
8464,Hyperdimension Neptunia Victory,PS3,2012.0,Role-Playing,Compile Heart,0.05,0.03,0.06,0.02,0.16
8367,Monsters vs. Aliens,X360,2009.0,Action,Activision,0.12,0.03,0.0,0.01,0.17
7897,Boogie,PS2,2007.0,Misc,Electronic Arts,0.09,0.07,0.0,0.02,0.19
9045,Monster House,PS2,2006.0,Adventure,THQ,0.07,0.05,0.0,0.02,0.14
5676,Madden NFL 2002,GBA,2001.0,Sports,Electronic Arts,0.23,0.08,0.0,0.01,0.32
7816,Majin and the Forsaken Kingdom,X360,2010.0,Adventure,Namco Bandai Games,0.14,0.03,0.0,0.01,0.19
10388,Tales of the World: Reve Unitia,3DS,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11
4754,AKB1/48: Idol to Koishitara...,PSP,2010.0,Misc,Namco Bandai Games,0.0,0.0,0.41,0.0,0.41
6312,Rocky: Legends,PS2,2004.0,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27
13428,Toukiden Kiwami,PSP,2014.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
8145,Godzilla (2015),PS4,2014.0,Action,Namco Bandai Games,0.1,0.03,0.02,0.03,0.18
6408,Payday 2,PS4,2015.0,Shooter,505 Games,0.09,0.14,0.0,0.04,0.27
8567,TNA iMPACT!,Wii,2008.0,Fighting,Midway Games,0.14,0.01,0.0,0.01,0.16
5031,NBA 2K7,PS3,2006.0,Sports,Take-Two Interactive,0.3,0.04,0.0,0.04,0.38
4535,Max Payne 3,PC,2012.0,Shooter,Take-Two Interactive,0.15,0.22,0.0,0.06,0.43
13693,Battle Spirits: Digital Starter,DS,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
9804,Lost in Shadow,Wii,2010.0,Platform,Konami Digital Entertainment,0.1,0.0,0.01,0.01,0.12
6529,Armored Core: Nexus,PS2,2004.0,Simulation,Indie Games,0.06,0.05,0.14,0.02,0.26
13749,Dragon's Lair 3D: Return to the Lair,GC,2002.0,Platform,THQ,0.03,0.01,0.0,0.0,0.04
12793,Coraline,Wii,2009.0,Action,D3Publisher,0.05,0.0,0.0,0.0,0.06
9471,NBA Ballers: Chosen One,PS3,2008.0,Sports,Midway Games,0.12,0.0,0.0,0.01,0.13
11,Nintendogs,DS,2005.0,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
99,Call of Duty: World at War,X360,2008.0,Shooter,Activision,4.79,1.9,0.0,0.69,7.37
4541,EverQuest Online Adventures,PS2,2003.0,Role-Playing,Sony Online Entertainment,0.21,0.16,0.0,0.05,0.43
12916,Pretty Cure All Stars Everyone Gather ? Let's Dance!,Wii,2013.0,Misc,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
798,The Sims 2: Pets,DS,2006.0,Simulation,Electronic Arts,0.92,0.94,0.0,0.22,2.09
13065,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,DS,2005.0,Adventure,Activision,0.05,0.0,0.0,0.0,0.05
3652,Batman: Vengeance,PS2,2001.0,Adventure,Ubisoft,0.27,0.21,0.0,0.07,0.55
4612,Marvel Super Hero Squad,DS,2009.0,Fighting,THQ,0.37,0.02,0.0,0.03,0.42
2708,Taiko no Tatsujin: Tatakon de Dodon ga Don,PS2,2002.0,Misc,Namco Bandai Games,0.0,0.0,0.76,0.0,0.76
4580,Medal of Honor: Rising Sun,GC,2003.0,Shooter,Electronic Arts,0.33,0.09,0.0,0.01,0.42
7238,Dragon Ball: Origins (JP & incomplete US sales),DS,2008.0,Adventure,Atari,0.04,0.0,0.17,0.0,0.22
4676,NBA Jam,PS2,2003.0,Sports,Acclaim Entertainment,0.2,0.16,0.0,0.05,0.41
14688,Harukanaru Toki no Naka de 6,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03
6087,BeatMania Append 4thMix: The beat goes on,PS,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29
4424,X-Men Legends II: Rise of Apocalypse,XB,2005.0,Role-Playing,Activision,0.3,0.12,0.0,0.02,0.44
8678,7th Dragon III Code: VFD,3DS,2015.0,Role-Playing,Sega,0.03,0.0,0.12,0.0,0.16
4031,Kane & Lynch 2: Dog Days,X360,2010.0,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49
962,Virtua Fighter 4,PS2,2002.0,Fighting,Sega,0.78,0.44,0.56,0.04,1.81
2512,DJ Hero 2,X360,2010.0,Misc,Activision,0.64,0.12,0.0,0.06,0.82
10841,Dungeons,PC,2011.0,Strategy,Kalypso Media,0.07,0.02,0.0,0.01,0.09
5495,Extra Bases,GB,1990.0,Sports,Namco Bandai Games,0.0,0.0,0.33,0.0,0.33
13304,Rock Band Country Track Pack 2,X360,2011.0,Misc,MTV Games,0.04,0.0,0.0,0.0,0.05
9963,Dora the Explorer: Journey to the Purple Planet,GC,2005.0,Adventure,Global Star,0.09,0.02,0.0,0.0,0.12
2041,Harry Potter and the Prisoner of Azkaban,PS2,2004.0,Action,Electronic Arts,0.5,0.39,0.0,0.13,1.02
13903,Tokumei Sentai Go-Busters,DS,2012.0,Action,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
543,Sonic and the Secret Rings,Wii,2007.0,Platform,Sega,1.24,1.2,0.04,0.3,2.77
9245,Famista Returns,3DS,2015.0,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
2491,Dance Central 3,X360,2012.0,Misc,Microsoft Game Studios,0.57,0.2,0.0,0.06,0.83
1929,Super Princess Peach,DS,2005.0,Platform,Nintendo,0.72,0.06,0.21,0.07,1.07
847,Tom Clancy's The Division,XOne,2016.0,Shooter,Ubisoft,1.2,0.62,0.0,0.18,2.01
14116,XBLAZE Code: Embryo,PS3,2013.0,Adventure,Arc System Works,0.02,0.0,0.01,0.0,0.03
14446,Dancing Blade II: Tears of Eden,PS,1999.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
1841,Donkey Kong Jr.,NES,1983.0,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
15205,Tale of a Hero,PC,2010.0,Adventure,Daedalic,0.0,0.02,0.0,0.01,0.02
9118,MX vs. ATV Reflex,DS,2009.0,Racing,THQ,0.13,0.0,0.0,0.01,0.14
2582,Prince of Persia: Warrior Within,XB,2004.0,Action,Ubisoft,0.48,0.28,0.0,0.04,0.8
12831,Medal of Honor: Airborne,PC,2007.0,Shooter,Electronic Arts,0.0,0.04,0.0,0.01,0.05
4972,Tomb Raider: Legend,X360,2006.0,Action,Eidos Interactive,0.27,0.08,0.01,0.03,0.39
418,L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.33,0.12,0.51,3.23
13649,Hitman (2016),PS4,2016.0,Action,Square Enix,0.0,0.04,0.0,0.01,0.04
3584,Wolfenstein,X360,2009.0,Shooter,Activision,0.28,0.22,0.0,0.06,0.56
11247,Astro Boy,PS2,2004.0,Action,Sega,0.04,0.03,0.0,0.01,0.09
15487,Rainbow Islands Revolution,DS,2005.0,Platform,Rising Star Games,0.01,0.0,0.0,0.0,0.02
9331,Fashion Studio: Paris Collection,DS,2009.0,Misc,Ubisoft,0.13,0.0,0.0,0.01,0.13
13603,NASCAR 07,XB,2006.0,Racing,Electronic Arts,0.03,0.01,0.0,0.0,0.04
10903,Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,2014.0,Role-Playing,Atlus,0.07,0.02,0.0,0.01,0.09
12152,James Bond 007: Blood Stone,DS,2010.0,Shooter,Activision,0.05,0.01,0.0,0.0,0.07
8787,Jikkyou Powerful Pro Yakyuu 2009,PS2,2009.0,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15
3951,NHL 09,X360,2008.0,Sports,Electronic Arts,0.45,0.01,0.0,0.04,0.5
9874,"Ed, Edd n Eddy: The Mis-Edventures",GBA,2005.0,Platform,Midway Games,0.08,0.03,0.0,0.0,0.12
167,Call of Duty: World at War,PS3,2008.0,Shooter,Activision,2.72,1.87,0.0,0.84,5.43
16131,Voodoo Chronicles: First Sign,PC,2011.0,Adventure,ValuSoft,0.01,0.0,0.0,0.0,0.01
16358,Icewind Dale II,PC,2002.0,Role-Playing,Interplay,0.0,0.01,0.0,0.0,0.01
9832,NASCAR Unleashed,X360,2011.0,Racing,Activision,0.11,0.0,0.0,0.01,0.12
3199,Dogz,GBA,2004.0,Simulation,Ubisoft,0.45,0.17,0.0,0.01,0.63
9755,The Lord of the Rings: Aragorn's Quest,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.1,0.02,0.0,0.01,0.12
10224,Vigilante 8: 2nd Offense,N64,2000.0,Racing,Activision,0.09,0.02,0.0,0.0,0.11
11327,Ultimate Brain Games,GBA,2003.0,Misc,Telegames,0.06,0.02,0.0,0.0,0.08
3602,Batman Begins,PS2,2005.0,Action,Electronic Arts,0.27,0.21,0.0,0.07,0.56
4113,2010 FIFA World Cup South Africa,PSP,2010.0,Sports,Electronic Arts,0.09,0.24,0.03,0.12,0.48
13812,Gummy Bears Mini Golf,Wii,2010.0,Sports,Unknown,0.04,0.0,0.0,0.0,0.04
3232,World of Zoo,Wii,2009.0,Simulation,THQ,0.41,0.16,0.0,0.05,0.63
1372,Injustice: Gods Among Us,X360,2013.0,Fighting,Warner Bros. Interactive Entertainment,0.97,0.34,0.0,0.11,1.41
4948,Marvel: Ultimate Alliance,PS3,2006.0,Role-Playing,Activision,0.33,0.02,0.0,0.04,0.39
12516,Star Soldier: Vanishing Earth,N64,1998.0,Shooter,Hudson Entertainment,0.05,0.01,0.0,0.0,0.06
13305,Color Cross,DS,2008.0,Misc,Rising Star Games,0.04,0.0,0.0,0.0,0.05
14023,S.T.A.L.K.E.R.: Clear Sky,PC,2008.0,Shooter,Deep Silver,0.0,0.03,0.0,0.01,0.04
